B,BRUXEL,94,Institut supérieur de Promotion sociale Libre de Bruxelles - Ilya Prigogine,50.8210481,4.34002438351172,Bruxelles,Avenue Besme 97,1190,https://www.institut-prigogine.be/
B,BRUXEL,95,Institut Supérieur de Formation Continue d'Etterbeek,50.8282146,4.3923957,Etterbeek,rue Joseph Buedts 14,1040,www.isfce.org
B,BRUXEL,96,Institut National Supérieur des Arts du Spectacle et des Techniques de Diffusion (INSAS),50.8399259,4.3612667,Brussels,Rue Thérésienne 8,1000,www.insas.be
B,BRUXEL,97,Centre de formation pour les secteurs infirmier et de santé de l'ACN - ASBL,50.8525881,4.4554102,Brussels,Avenue Hippocrate 91,1200,www.cpsi.be
B,BRUXEL,98,Haute Ecole Bruxelles-Brabant (HE2B),50.81889365,4.36772025236904,Bruxelles,rue de l'abbaye 26,1050,
B,BRUXEL,99,Ecole supérieure des arts du cirque,NULL,NULL,Bruxelles,"Avenue Emile Gryzon, 1 Bât. 8B",1070,http://www.esac.be/
B,DIEPENB,01,UNIVERSITEIT HASSELT,50.93356215,5.3424565875325305,Hasselt,MARTELARENLAAN 42,3500,www.uhasselt.be
B,DIEPENB,07,Transnationale Universiteit Limburg,NULL,NULL,Maastricht,Minderbroedersberg 4B,6211 LK,www.tul.edu
B,EUPEN,04,Autonome Hochschule Ostbelgien,50.6177684,6.048025754914882,Eupen,Monschauer Straße 57,4700,www.ahs-ostbelgien.be
B,GEEL,07,THOMAS MORE KEMPEN VZW,51.160876200000004,4.961817590483868,Geel,KLEINHOEFSTRAAT 4,2440,www.thomasmore.be
B,GENT,01,UNIVERSITEIT GENT,51.0471689,3.7282075073288716,Gent,SINT PIETERSNIEUWSTRAAT 25,9000,http://www.ugent.be
B,GENT,25,HOGESCHOOL GENT,51.0523776,3.7286016694149726,Gent,GERAARD DE DUIVELSTRAAT 5,9000,www.hogent.be
B,GENT,39,ARTEVELDEHOGESCHOOL,51.05553995,3.723413667276892,Gent,HOOGPOORT 15,9000,www.arteveldehogeschool.be
B,GENT,40,ORPHEUS INSTITUUT VZW,51.0515863,3.722738674799708,Gent,KORTE MEER 12,9000,www.orpheusinstituut.be 
B,GENT,41,VLERICK BUSINESS SCHOOL,51.0473054,3.7330918744047636,Gent,REEP 1,9000,
B,GENT,42,International Opera Academy,51.0440218,3.7200374,Gent,Bijlokekaai 6,9000,www.ioacademy.be
B,HASSELT,20,UC LIMBURG,50.92909625,5.395375792413102,Diepenbeek,CAMPUS DIEPENBEEK AGORALAAN GEBOUW B BUS 1,3590,www.ucll.be
B,HASSELT,22,HOGESCHOOL PXL,50.9396733,5.3500915,Hasselt,ELFDE LINIESTRAAT 24,3500,www.pxl.be
B,HEVERLE,05,EVANGELISCHE THEOLOGISCHE FACULTEIT,50.8610717,4.6584366,Leuven,SINT JANSBERGSESTEENWEG 95-97,3001,www.etf.edu
B,KORTRIJ,01,KATHOLIEKE HOGESCHOOL VIVES ZUID,50.8063,3.2830647,Kortrijk,DOORNIKSESTEENWEG 145,8500,www.vives.be
B,KORTRIJ,03,HOGESCHOOL WEST-VLAANDEREN HOWEST,50.8229494,3.252971,Kortrijk,MARKSESTEENWEG  58,8500,www.howest.be
B,LALOUVI,01,Institut Provincial des Arts et Métiers du Centre,50.47811915,4.193997771407554,La Louvière,rue Paul Pastur 1,7100,https://www.etudierenhainaut.be/ipam-centre
B,LEUVEN,01,KATHOLIEKE UNIVERSITEIT LEUVEN,50.87807625,4.69942473624295,Leuven,OUDE MARKT 13,3000,www.kuleuven.be
B,LEUVEN,18,UC LEUVEN,50.8457396,4.7278605,Heverlee,GELDENAAKSEBAAN 335,3001,www.ucll.be
B,LIEGE,01,UNIVERSITE DE LIEGE,50.640718500000006,5.576232583520801,Liege,PLACE DU 20 AOUT  7,4000,www.uliege.be
B,LIEGE,02,Académie Royale des Beaux-Arts de Liege - Ecole Supérieure des Arts de la Ville de Liège,50.64712395,5.568481234183855,Liege,RUE DES ANGLAIS 21,4000,www.acasupliege.be
B,LIEGE,03,Conservatoire royal de Liège,50.6352083,5.570619904170007,Liège,"BOULEVARD PIERCOT, 29",40000,www.crlg.be
B,LIEGE,07,ESA Saint-Luc Liège,50.6432802,5.5840729,Liège,Boulevard de la Constitution,4020,www.saint-luc.be
B,LIEGE,37,HAUTE ECOLE LIBRE MOSANE,50.644273299999995,5.56564732332796,Liege,MONT SAINT MARTIN 45,4000,https://www.helmo.be/
B,LIEGE,38,PROVINCE DE LIEGE,50.6453766,5.5735134,Liege,PLACE SAINT LAMBERT  18A,4000,
B,LIEGE,42,HAUTE ECOLE DE LA VILLE DE LIEGE,50.6399433,5.570317454380397,Liege,"Rue Hazinelle,2",4000,www.hel.be
B,LIEGE,43,HAUTE ECOLE CHARLEMAGNE HE CH,50.6236768,5.575168146616191,Liege,RUE DES RIVAGEOIS 6,4000,http://www.hech.be
B,LOUVAIN,01,UNIVERSITE CATHOLIQUE DE LOUVAIN,50.6696174,4.6161002,Louvain La Neuve,PLACE DE L UNIVERSITE 1,1348,www.uclouvain.be
B,LOUVAIN,02,Institut des Arts de diffusion,50.670613450000005,4.604011282470589,Louvain-La-Neuve,5 Route de Blocry,1348,www.iad-arts.be
B,MECHELE,14,THOMAS MORE MECHELEN-ANTWERPEN,51.0240384,4.4882227,Mechelen,ZANDPOORTVEST 60,2800,www.thomasmore.be
B,MONS,20,Haute Ecole en Hainaut,50.4600147,3.9566652,Mons,rue Pierre-Joseph Dumenil 4,7000,www.heh.be
B,MONS,21,UNIVERSITE DE MONS,50.458744949999996,3.95225425845927,Mons,PLACE DU PARC 20,7000,www.umons.ac.be
B,MONS,22,Haute Ecole Louvain en Hainaut - HELHa,50.4520772,3.98595,Mons,Chaussée de Binche 159,7000,http://www.helha.be
B,MONS,24,ARTS2 Mons,50.4557321,3.9538251,Mons,RUE DE NIMY 7,7000,www.artsaucarre.be
B,MONS,25,iepscf jemappes,NULL,NULL,Jemappes,avenue du Roi Albert,7012,www.iepsjemappes.be
B,MONS,26,Etablissement d'Enseignement pour Adultes et de Formation Continue Frameries,50.4108459,3.891326863996408,Frameries,"rue du Onze novembre,2",7080,https://www.eafc-frameries.be/
B,NAMUR,01,UNIVERSITE DE NAMUR ASBL,50.466079199999996,4.859848481033998,Namur,RUE DE BRUXELLES 61,5000,www.unamur.be  
B,NAMUR,11,Haute Ecole de la Communauté française Albert Jacquard,50.4669504,4.862679230456477,Namur,"Rue Godefroid, 32",5000,www.heaj.be
B,NAMUR,13,IMEP,50.46456475,4.84579247646829,Namur,"Rue Juppin, 28",5000,www.imep.be
B,NAMUR,14,Haute Ecole de la Province de Namur,50.4628248,4.835489225869934,Namur,"Rue Henri Blès, 192",5000,http://www.hepn.be
B,NAMUR,15,HAUTE ECOLE DE NAMUR-LIEGE-LUXEMBOURG,50.473095,4.854857116962203,Namur,130 RUE SAINT DONAT,5002,www.henallux.be
B,TOURNAI,01,Académie des Beaux-Arts de Tournai,50.6073599,3.3895936,Tournai,"14, Rue de l'Hôpital Notre-Dame",7500,www.actournai.be
B,TOURNAI,02,ECOLE SUPERIEURE DES ARTS SAINT-LUC DE TOURNAI,50.6464753,3.3434711,Ramegnies-Chin,"Chaussée de Tournai, 7",7520,http://sup.saintluctournai.be/
BA,BANJA,01,VISOKA SKOLA BANJA LUKA COLLEGE,44.761850100000004,17.188582958052557,Banja Luka,MILOSA OBILICA 30,78000,www.blc.edu.ba
